nomes;idade;cidade;estado;cpf;cnpj
Kelly Jenkins;79;ABAÍRA;BA;63740436506;57302550382603
Craig Reynolds;82;ABAIARA;CE;440.848.974-34;42.490.414/4585-32
Cindy Brown;28;Brasília;distrito federal;11561438537;89158131394480
Diana Armstrong;50;AFONSO CLÁUDIO;ES;210.541.623-36;09.255.575/4727-22
Travis Morris;35;ABADIA DE GOIÁS;GO;50975942239;96592493662984
Edwin Martin;44;AÇAILÂNDIA;MA;726.559.832-62;41.619.731/8695-00
Linda Vargas MD;62;ABADIA DOS DOURADOS;MG;66562524512;22415824790549
Brianna Francis;82;ÁGUA CLARA;MS;704.507.470-00;64.010.620/6146-80
Deborah Hill;33;ACORIZAL;MT;78461044894;12817923842072
Lindsey Koch;72;ABAETETUBA;PA;819.007.408-34;31.706.819/2389-30
Charles Yates;71;ÁGUA BRANCA;PB;65586683784;78616996600779
Matthew Martinez;85;ABREU E LIMA;PE;439.868.543-04;21.120.314/4192-12
Victor Bradley;77;ACAUÃ;PI;94252857058;47357837297302
Joshua Carr;25;ABATIÁ;PR;239.397.071-12;05.835.122/0205-70
Evan Cochran;68;ANGRA DOS REIS;RJ;70166695564;77938477219769
John Cline;62;ACARI;RN;484.060.746-04;77.536.642/6562-00
Sarah Ellis;20;ALTA FLORESTA D'OESTE;RO;11565659791;27017130239145
Amy Burnett;20;AMAJARI;RR;054.618.686-65;78.896.522/1909-96
Donald Edwards;48;ACEGUÁ;RS;96525798582;74381216820226
Michael Smith;30;ABDON BATISTA;SC;988.604.166-80;13.228.968/2338-09
Jordan Green;32;AMPARO DE SÃO FRANCISCO;SE;74265673627;93322502277502
Jennifer Perez;18;ADAMANTINA;SP;599.998.764-47;67.315.158/0750-59
Kimberly Berry;50;ABREULÂNDIA;TO;86157181648;67528221852023
Micheal Rhodes;64;ACRELÂNDIA;AC;010.271.230-15;01.567.761/0685-87
Maria Holt;23;ÁGUA BRANCA;AL;44011869902;76858860759935
Sara Lopez;87;ALVARÃES;AM;082.153.636-28;06.841.435/6164-13
Max Velasquez;21;SERRA DO NAVIO;AP;82095280172;94975675983705
Dawn Mcdonald;81;ABAÍRA;BA;059.382.159-94;20.546.307/3252-36
Brittany Brown;53;ABAIARA;CE;31627419713;55228737706506
Patricia Meyer MD;31;Brasília;distrito federal;432.435.813-38;68.879.919/2769-85
David Ray;37;AFONSO CLÁUDIO;ES;29800343555;73864442851427
Anthony Gross;39;ABADIA DE GOIÁS;GO;965.621.184-76;46.241.882/1293-85
Brittany Valencia;67;AÇAILÂNDIA;MA;28914778045;10142766881853
Logan Powell;60;ABADIA DOS DOURADOS;MG;792.085.332-04;80.572.131/6198-08
Andrew Mckinney;44;ÁGUA CLARA;MS;12452990698;05750437593809
Leroy Murphy;70;ACORIZAL;MT;336.130.856-90;14.759.051/8049-90
Kevin Burton;58;ABAETETUBA;PA;98943583656;90281213128519
Gregory Hayes;58;ÁGUA BRANCA;PB;174.905.172-90;31.171.027/0025-48
Jose Campbell;53;ABREU E LIMA;PE;18078365330;80533226507844
Jeremy Decker;28;ACAUÃ;PI;150.953.142-40;44.638.202/7086-03
Jenny Perez;75;ABATIÁ;PR;57306797425;05479656870807
Billy Rodriguez;85;ANGRA DOS REIS;RJ;158.450.462-54;45.458.605/3250-33
Aaron Hamilton;73;ACARI;RN;10688335993;96004515083166
Kathryn Bullock;51;ALTA FLORESTA D'OESTE;RO;432.971.239-31;94.922.644/0814-07
Rebecca Rowe;51;AMAJARI;RR;49114313421;10272842504030
Kenneth Elliott;66;ACEGUÁ;RS;301.656.545-54;94.604.763/5783-59
David Hughes;63;ABDON BATISTA;SC;52734128381;58501967514246
Jason Rose;49;AMPARO DE SÃO FRANCISCO;SE;791.618.005-70;81.720.719/0818-59
Donald Paul;50;ADAMANTINA;SP;37156750399;43457897571340
Dawn Smith;26;ABREULÂNDIA;TO;995.914.512-37;87.072.454/9464-83
Peter Munoz;49;ACRELÂNDIA;AC;53949179224;12276654408988
Mrs. Yesenia Barrett;88;ÁGUA BRANCA;AL;746.102.105-25;50.800.865/6979-77
Paul Thomas;88;ALVARÃES;AM;23560148880;69485546986030
Dr. Jennifer Williams;36;SERRA DO NAVIO;AP;443.310.261-08;48.607.469/0454-82
Darlene Wagner;69;ABAÍRA;BA;59392936893;11025510922525
Hannah Snyder;40;ABAIARA;CE;539.078.801-02;13.540.261/8694-60
Christopher Young;38;Brasília;distrito federal;24594975984;71848458367870
Tracy Dixon;25;AFONSO CLÁUDIO;ES;271.023.554-40;39.877.727/0995-41
Kathy Le;87;ABADIA DE GOIÁS;GO;29372127515;76533194657615
Keith Luna;68;AÇAILÂNDIA;MA;809.077.068-19;27.585.581/6942-00
Shannon Sweeney;77;ABADIA DOS DOURADOS;MG;64159559697;97541235412315
Elizabeth Bell;59;ÁGUA CLARA;MS;862.673.563-45;66.053.445/5742-33
Heidi Bradley;25;ACORIZAL;MT;56729505400;18466160426096
Terry Reed;61;ABAETETUBA;PA;516.088.654-01;27.132.745/3724-67
Diane Hernandez;41;ÁGUA BRANCA;PB;48111470576;40787478716700
Rachel Warren;33;ABREU E LIMA;PE;233.768.572-10;29.002.233/2001-12
Maria Williams;42;ACAUÃ;PI;01992242186;41141212436110
Anne Miller;77;ABATIÁ;PR;171.201.577-01;77.621.947/0901-19
Jennifer Lewis;22;ANGRA DOS REIS;RJ;78325186267;43532550380560
Michael Wright;43;ACARI;RN;301.977.628-75;14.820.218/7344-00
Brianna Robertson;53;ALTA FLORESTA D'OESTE;RO;89303268970;16406257442520
Melanie Robles;21;AMAJARI;RR;739.487.980-10;95.310.373/1280-58
Angela Williams;73;ACEGUÁ;RS;20273841890;30637559535113
Derek Young;21;ABDON BATISTA;SC;655.027.252-19;66.113.865/0111-07
Blake Cunningham;45;AMPARO DE SÃO FRANCISCO;SE;26809028587;61408220409971
Kelly Adams;44;ADAMANTINA;SP;868.076.270-92;28.686.902/5483-18
Deborah Thomas;69;ABREULÂNDIA;TO;84534791607;37602155361550
Crystal Trevino;66;ACRELÂNDIA;AC;091.085.719-96;28.098.660/7859-80
Denise West;44;ÁGUA BRANCA;AL;82636980148;20396929563240
Connie King;65;ALVARÃES;AM;888.103.444-13;62.060.107/4065-61
Andrew Alvarez;90;SERRA DO NAVIO;AP;20842441964;92817873519520
Michael Lewis;73;ABAÍRA;BA;008.917.318-06;76.409.412/0124-09
Sonia Alvarado;42;ABAIARA;CE;21276936478;93726855515266
Elizabeth Miller;79;Brasília;distrito federal;723.509.900-36;41.178.451/8696-87
Marc Cook;72;AFONSO CLÁUDIO;ES;44359336403;31571856880272
Patricia Mendoza;51;ABADIA DE GOIÁS;GO;620.291.468-89;20.732.732/0585-05
Michael Garcia;23;AÇAILÂNDIA;MA;64633032240;41439568362343
Mr. Jesse Fletcher;21;ABADIA DOS DOURADOS;MG;812.821.490-08;48.249.914/7290-01
Kyle Mora;63;ÁGUA CLARA;MS;00614722047;29653942966322
Leah Garcia;44;ACORIZAL;MT;161.038.650-77;36.497.348/5640-44
Anna Harrison;73;ABAETETUBA;PA;78361187898;86839992732692
Alexander Hodges;89;ÁGUA BRANCA;PB;996.470.127-64;95.097.510/0881-21
Anita Hernandez;30;ABREU E LIMA;PE;77322953584;10132381555681
Elizabeth Sims;88;ACAUÃ;PI;878.404.767-40;29.335.557/5529-58
David Clark;80;ABATIÁ;PR;83791685422;51219853830691
Nicole Lewis;87;ANGRA DOS REIS;RJ;169.211.028-40;17.303.237/6977-49
Angela Zamora;30;ACARI;RN;07417379907;38400146863308
David Flores;28;ALTA FLORESTA D'OESTE;RO;960.296.319-00;16.724.741/9901-12
Kent Andrews;35;AMAJARI;RR;70884125513;97138536375774
Patricia Martinez;24;ACEGUÁ;RS;967.589.238-27;96.521.677/6222-26
Meghan Morrison;42;ABDON BATISTA;SC;47591143786;14217451447844
Annette Herrera;43;AMPARO DE SÃO FRANCISCO;SE;922.475.700-62;96.306.007/2579-04
Barbara Leon MD;73;ADAMANTINA;sao  paulo;05086323231;98992168836002
Justin Andersen;30;ABREULÂNDIA;TO;342.456.870-88;26.866.823/1787-60
Wesley Lee;28;ACRELÂNDIA;AC;79111554452;34205707583747
Jonathan Anderson;62;ÁGUA BRANCA;AL;145.670.339-06;25.564.852/6640-57
Kathy Bowman;82;ALVARÃES;AM;22382453672;38323943041584
Leah King;82;SERRA DO NAVIO;AP;574.255.025-18;10.007.906/2328-07
Nicholas Johnson;70;ABAÍRA;BA;18410328674;32981852682342
Matthew Fields;77;ABAIARA;CE;827.774.578-83;50.160.746/5310-98
Thomas Smith;63;Brasília;DF;16023528449;92512736753777
Sara James;40;AFONSO CLÁUDIO;ES;655.508.225-98;35.281.439/9477-66
Keith Robinson;80;ABADIA DE GOIÁS;GO;39214566143;66501166914304
Andrew Wood;86;AÇAILÂNDIA;MA;439.871.156-29;32.050.721/2948-48
Gordon Stephens;30;ABADIA DOS DOURADOS;MG;82547425610;36913960886848
Amy Davis;62;ÁGUA CLARA;MS;297.451.324-70;64.947.184/5187-95
Kristin Mcdaniel;79;ACORIZAL;MT;82761811208;64709072009818
Julie Thompson;57;ABAETETUBA;PA;530.305.197-83;67.505.872/6135-16
Steven Ramos;66;ÁGUA BRANCA;PB;36310656473;80984026508456
Allison Mueller;29;ABREU E LIMA;PE;280.203.911-34;58.190.936/1964-14
Donna Zimmerman;56;ACAUÃ;PI;15689286885;95164540498786
Kayla Curtis;78;ABATIÁ;PR;828.525.480-11;95.366.516/9002-34
Gary Pineda;42;ANGRA DOS REIS;RJ;12458789722;38287874622145
Lisa Baxter;24;ACARI;RN;683.796.976-50;65.357.433/3742-22
Michelle Wilson;27;ALTA FLORESTA D'OESTE;RO;27377207027;33963172192000
Pamela Black;55;AMAJARI;RR;542.837.914-66;08.157.026/6811-65
Michael Boyd;41;ACEGUÁ;RS;31063350093;27199674682605
Carolyn Taylor;62;ABDON BATISTA;SC;540.428.455-25;89.986.256/6346-45
Nathan Floyd;76;AMPARO DE SÃO FRANCISCO;SE;11772208140;92625646258864
Stephen Torres;48;ADAMANTINA;sao  paulo;922.545.994-70;51.006.075/0099-24
Emily Wilson;86;ABREULÂNDIA;TO;57057488769;96720214047760
Amanda Hobbs;80;ACRELÂNDIA;AC;050.552.775-80;54.492.254/0625-57
Randy Bailey;32;ÁGUA BRANCA;AL;53066383415;40303858573425
Heather Mccarthy;42;ALVARÃES;AM;618.652.907-00;86.838.303/2142-41
William Davis;82;SERRA DO NAVIO;AP;28870789330;03081296955933
Devin Morris;38;ABAÍRA;BA;194.356.416-79;76.472.727/1722-60
Jenna White;32;ABAIARA;CE;72407555252;40260403080600
Kimberly Sherman;77;Brasília;DF;732.124.519-55;02.500.244/4366-17
David Mitchell;36;AFONSO CLÁUDIO;ES;72992871702;02121349200971
Victoria Sweeney;30;ABADIA DE GOIÁS;GO;751.465.480-13;75.527.460/8496-22
Patrick Johnson;72;AÇAILÂNDIA;MA;75069665227;80060366416537
Kevin Miller;33;ABADIA DOS DOURADOS;MG;279.210.755-33;87.627.534/0856-06
Lauren Morrison;76;ÁGUA CLARA;MS;25053233136;33874640779675
Bridget Jones;37;ACORIZAL;MT;522.102.189-77;69.774.398/7040-01
Joseph Rios;63;ABAETETUBA;PA;73693717605;84169834445400
Julie Walls;49;ÁGUA BRANCA;PB;284.260.293-53;17.121.235/4792-35
John Martinez;55;ABREU E LIMA;PE;24865138099;38279342891493
David Martinez;25;ACAUÃ;PI;605.338.393-78;84.780.241/6850-02
Seth Shea;87;ABATIÁ;PR;08800362907;49405163953922
Jaclyn Daniels;57;ANGRA DOS REIS;RJ;676.430.030-50;46.293.293/7048-92
Darrell Smith;80;ACARI;RN;99103515524;25226377457801
Joseph Williams;23;ALTA FLORESTA D'OESTE;RO;678.277.536-04;89.386.233/7302-32
Michelle Schmidt;40;AMAJARI;RR;02584310759;31364364069621
Christopher Crane;63;ACEGUÁ;RS;531.980.670-14;14.409.710/6144-09
Melody Arnold;28;ABDON BATISTA;SC;99587407024;70289857870560
Frank Miller;35;AMPARO DE SÃO FRANCISCO;SE;210.866.427-08;05.601.484/9523-60
Kelli Poole;22;ADAMANTINA;sao  paulo;34228364209;97538603622850
Brian Grant;40;ABREULÂNDIA;TO;259.261.343-90;89.905.193/7539-05
Alan Juarez;81;ACRELÂNDIA;AC;24323027451;06116849575430
Jennifer Herrera;44;ÁGUA BRANCA;AL;059.443.305-38;44.338.019/6311-00
Michael Anderson;47;ALVARÃES;AM;25816374206;04705908871616
Mr. Derrick Walker III;67;SERRA DO NAVIO;AP;867.098.157-22;72.983.983/2334-06
Lisa Adams;56;ABAÍRA;BA;17102683367;07752430833070
Phyllis Davis;81;ABAIARA;CE;109.416.743-63;25.441.970/1368-02
Kimberly Gaines;26;Brasília;DF;58990464145;51208722841996
Erika White;39;AFONSO CLÁUDIO;ES;864.550.959-87;50.531.473/5392-97
Stephanie Petersen;32;ABADIA DE GOIÁS;GO;20318573202;32598177031430
Timothy Thomas;57;AÇAILÂNDIA;MA;221.356.574-09;83.845.376/7095-90
Travis Griffin;23;ABADIA DOS DOURADOS;MG;19965886725;92969475277410
John Robinson;31;ÁGUA CLARA;MS;806.712.013-79;08.547.368/1627-55
Emily Smith;79;ACORIZAL;MT;31530403626;30097397584110
Tyler Fernandez;26;ABAETETUBA;PA;660.893.332-04;85.336.615/2159-32
Steven Martinez;37;ÁGUA BRANCA;PB;75262527701;99235616826457
Meghan Coffey;63;ABREU E LIMA;PE;666.359.181-91;47.268.825/3704-08
John Holmes;85;ACAUÃ;PI;07291253276;25881963791528
Jordan Brock;61;ABATIÁ;PR;293.411.774-05;04.081.082/9542-81
Stephanie Mendez;66;ANGRA DOS REIS;RJ;04752838800;82804534288805
Adrian Bryant;33;ACARI;RN;015.624.950-20;97.740.191/4514-12
Jose Burton;65;ALTA FLORESTA D'OESTE;RO;59565808875;35151610774001
Christopher Knight;76;AMAJARI;RR;852.138.012-77;70.860.699/8457-90
Tiffany Carrillo;61;ACEGUÁ;RS;47122359344;67964379096560
John Mcdonald;44;ABDON BATISTA;SC;264.598.737-04;41.080.118/3739-37
Dalton Pierce;32;AMPARO DE SÃO FRANCISCO;SE;77939530534;49747484805124
Michael Castillo;89;ADAMANTINA;são  paulo;111.618.361-79;76.065.114/0666-03
Amanda Barnett;37;ABREULÂNDIA;TO;29594053828;98967609682620
Jeffrey King;90;ACRELÂNDIA;AC;500.662.359-44;15.245.381/2409-61
Alex Murphy;34;ÁGUA BRANCA;AL;83064446398;19340044456087
Ryan Greene;82;ALVARÃES;AM;885.273.886-00;20.318.973/8961-25
Jennifer Bridges;26;SERRA DO NAVIO;AP;53239536242;53269139784690
Gregory Hughes;26;ABAÍRA;BA;990.368.076-70;88.470.340/1529-03
John Marshall;60;ABAIARA;CE;98671530817;13776589478708
Carol Perkins;24;Brasília;DF;344.984.821-66;69.068.120/1128-63
Julie Delgado;81;AFONSO CLÁUDIO;ES;62640338471;90383600838857
Hannah Hines;32;ABADIA DE GOIÁS;GO;209.252.867-02;56.685.168/0627-58
Joseph Gray;30;AÇAILÂNDIA;MA;45049201152;83634083265908
Christopher Harper;75;ABADIA DOS DOURADOS;MG;962.424.161-90;53.504.090/3911-21
Jason Williams;45;ÁGUA CLARA;MS;01081434490;25372710988314
Michael Taylor;52;ACORIZAL;MT;204.285.589-84;23.175.643/8884-40
Ashley Edwards;89;ABAETETUBA;PA;98621300753;45128781305324
Stacey Harris;64;ÁGUA BRANCA;PB;679.999.574-10;86.389.884/8934-05
Mary Mendez;37;ABREU E LIMA;PE;83291155939;86650022725516
Lynn Hancock MD;44;ACAUÃ;PI;487.768.881-18;96.434.425/4249-72
David Stevens;89;ABATIÁ;PR;62636269177;84064557299700
Anthony Jones;49;ANGRA DOS REIS;RJ;344.927.871-19;42.082.003/2169-20
Kelly Pena;59;ACARI;RN;08890379650;23232921240305
Michelle Bennett;51;ALTA FLORESTA D'OESTE;RO;503.105.674-67;43.603.711/7680-29
James Li;40;AMAJARI;RR;04812150426;93917858098821
Michael Thomas;87;ACEGUÁ;RS;245.430.656-54;07.723.578/8665-03
Bethany Diaz;27;ABDON BATISTA;SC;62099648506;00003495644263
Anthony Howard;57;AMPARO DE SÃO FRANCISCO;SE;836.695.106-56;64.352.959/5084-74
Carlos Payne;61;ADAMANTINA;são  paulo;35122289093;13257452253494
Craig Walker;71;ABREULÂNDIA;TO;742.577.831-92;20.137.525/9549-31
Kyle Williams;81;ACRELÂNDIA;AC;91581794886;53415639743407
Roy Townsend;48;ÁGUA BRANCA;AL;085.079.833-75;76.387.898/3551-08
Joseph Elliott;37;ALVARÃES;AM;99115506134;67475348317819
Joseph Ho;28;SERRA DO NAVIO;AP;493.292.258-29;16.966.018/9676-79
Darrell Sexton;51;ABAÍRA;BA;15368324219;61946809829469
Joseph Turner;87;ABAIARA;CE;308.581.773-58;66.737.056/8717-87
Heather Thomas;64;Brasília;DF;98851634769;68313717263993
Dawn Jones;21;AFONSO CLÁUDIO;ES;911.832.441-00;87.742.757/9860-93
Manuel Frank;69;ABADIA DE GOIÁS;GO;13163936237;48469721905808
Paul Brennan;47;AÇAILÂNDIA;MA;290.192.782-31;37.793.898/0629-90
Erin Obrien;18;ABADIA DOS DOURADOS;MG;56139719860;04451999609124
Peter Jackson;74;ÁGUA CLARA;MS;104.331.100-90;57.978.318/0551-41
Susan Silva;61;ACORIZAL;MT;02242021460;41574152054277
Madeline Hill;28;ABAETETUBA;PA;767.626.528-24;87.230.981/0433-80
Mr. Charles Schwartz;47;ÁGUA BRANCA;PB;01473369290;78060778010570
Melissa Petersen;90;ABREU E LIMA;PE;926.658.086-41;23.803.319/8948-28
Kathryn Fowler;39;ACAUÃ;PI;17694391294;34971771669889
Shane Villa;59;ABATIÁ;PR;794.153.299-98;51.204.149/8556-50
Heather Mosley;84;ANGRA DOS REIS;RJ;73696720852;92484077361979
Michael Benson;20;ACARI;RN;562.976.053-00;95.009.048/3589-93
Joel Kelly;73;ALTA FLORESTA D'OESTE;RO;75297450500;70150966108048
Miss Christine Allen DVM;31;AMAJARI;RR;633.312.678-05;37.874.234/0021-11
Jose Jenkins;73;ACEGUÁ;RS;66424092307;95869381658771
David Gill;81;ABDON BATISTA;SC;656.018.669-53;16.777.448/7626-76
Aaron Franco;33;AMPARO DE SÃO FRANCISCO;SE;64379535517;52729900630864
Allen Powell;90;ADAMANTINA;são  paulo;281.467.463-30;75.062.174/6314-12
Amber Taylor;41;ABREULÂNDIA;TO;10401840492;27510140066930
Vanessa Haynes;32;ACRELÂNDIA;AC;757.910.908-54;64.644.828/1029-10
Darren Davis;61;ÁGUA BRANCA;AL;11841573329;80592980588081
Daniel Davis;45;ALVARÃES;AM;806.106.373-55;91.637.625/7611-58
William Morales;22;SERRA DO NAVIO;AP;26217700379;39881898166918
Christina Simpson;67;ABAÍRA;BA;838.526.853-70;93.064.181/9377-80
Kevin Wright;75;ABAIARA;CE;24326051442;68004443313214
Adam Cannon;67;Brasília;DF;971.236.053-90;38.051.143/1115-17
Jason Hall;58;AFONSO CLÁUDIO;ES;20821547348;12558696147768
Matthew Wagner;67;ABADIA DE GOIÁS;GO;552.349.801-70;58.608.836/3267-76
Colleen Hall;41;AÇAILÂNDIA;MA;08946760915;38721671317231
Robert Smith;61;ABADIA DOS DOURADOS;MG;872.418.924-37;70.885.137/1147-55
Ashley Nash;67;ÁGUA CLARA;MS;19486718750;87875762986740
Jennifer Sullivan;60;ACORIZAL;MT;095.889.517-12;62.350.742/9937-72
Daisy Herrera;37;ABAETETUBA;PA;49166470684;40849370899506
Joshua Garcia;85;ÁGUA BRANCA;PB;714.616.820-45;91.915.626/9991-05
William Joseph;49;ABREU E LIMA;PE;32100992864;17806292816432
Jackie Ford;22;ACAUÃ;PI;726.344.584-01;24.836.512/2669-32
Laura Wagner;55;ABATIÁ;PR;17016662608;21142998414880
Justin Day;23;ANGRA DOS REIS;rio de  janeiro ;654.532.957-08;80.358.716/5620-11
Chloe Lambert;76;ACARI;RN;17895378864;80378236559224
Gary Christensen;53;ALTA FLORESTA D'OESTE;RO;484.428.824-56;37.749.502/0651-75
Virginia Thomas;20;AMAJARI;RR;21988421578;38277737307879
Nicole Spence;33;ACEGUÁ;RS;350.012.757-68;39.119.095/6803-06
Bryan Arellano;58;ABDON BATISTA;SC;73551845719;26593989986970
Thomas Thompson;34;AMPARO DE SÃO FRANCISCO;SE;952.276.120-64;24.497.914/0528-01
Tony Murphy;66;ADAMANTINA;SP;09163622211;32375015123710
Jamie Jones;23;ABREULÂNDIA;TO;106.359.672-60;34.835.066/6197-50
Robert Fisher MD;25;ACRELÂNDIA;AC;55176696975;94065124126208
Calvin Reed;54;ÁGUA BRANCA;AL;472.916.463-67;39.441.010/8588-01
Robert Miller;53;ALVARÃES;AM;68554430280;87947728765053
Kayla Phillips;89;SERRA DO NAVIO;AP;750.589.637-79;01.865.847/7445-59
Barbara Holmes;78;ABAÍRA;BA;44670865366;58745957110163
Samantha Davis MD;85;ABAIARA;CE;579.022.798-89;88.129.970/7636-24
John Davis;26;Brasília;DF;92317078170;02732745199155
Larry Davis;80;AFONSO CLÁUDIO;ES;507.329.902-70;55.545.407/2438-46
Scott Cain;70;ABADIA DE GOIÁS;GO;41784856878;44644314065652
Ashley Macias;76;AÇAILÂNDIA;MA;968.718.873-18;12.095.491/2851-69
Robert Fuller;87;ABADIA DOS DOURADOS;MG;11624364250;81339061208252
Maria Howard;68;ÁGUA CLARA;MS;846.998.703-84;52.807.316/1561-00
Dustin Green;88;ACORIZAL;MT;67873185290;79071773310738
Colleen Thompson;21;ABAETETUBA;PA;346.114.382-01;84.460.646/0652-78
Joshua Ritter;69;ÁGUA BRANCA;PB;70967866359;31157373683315
Christian Flores;19;ABREU E LIMA;PE;288.597.715-95;82.758.229/3472-60
Stacy Combs;69;ACAUÃ;PI;70907181155;29666436255510
Michael Henry;25;ABATIÁ;PR;680.479.319-62;34.785.965/4443-83
Kevin Montgomery;73;ANGRA DOS REIS;rio de  janeiro ;98440335784;84952387553779
Ryan Ramsey;80;ACARI;RN;365.348.496-07;76.128.729/9492-90
Christine Newman;63;ALTA FLORESTA D'OESTE;RO;53703274832;40405077461643
Laura Brown;76;AMAJARI;RR;834.551.420-01;47.884.741/9558-98
Sarah Johnson;66;ACEGUÁ;RS;86212279594;26025023972987
Amy Bailey;66;ABDON BATISTA;SC;021.827.236-76;42.567.072/6309-32
Cody Campbell;32;AMPARO DE SÃO FRANCISCO;SE;65579559933;85555799635033
Evan Ellis;86;ADAMANTINA;SP;369.997.509-63;35.247.799/5344-04
Regina Graves;58;ABREULÂNDIA;TO;29990161402;47588637706635
Michelle Hernandez;88;ACRELÂNDIA;AC;676.770.155-65;84.379.015/1621-86
Andrew Cortez;84;ÁGUA BRANCA;AL;62679509056;34228493852644
Steven Allen;24;ALVARÃES;AM;179.248.836-06;53.717.404/9901-24
Julia Maxwell;24;SERRA DO NAVIO;AP;27717301547;73699236305161
Michael Lopez;76;ABAÍRA;BA;727.605.411-00;94.087.887/9837-56
Charles Meyer;64;ABAIARA;CE;96927586725;25739458309539
